codice_isolato,data,popolazione,codice_gruppo,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
270423077,2019-04-16,0,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422461,2019-04-16,109,3,270425090,4,10,Terraferma,San Lorenzo Xxv Aprile,Mestre - Carpenedo,Mestre Centro
270422279,2019-04-16,9,3,270425095,4,9,Terraferma,Aree Non Altrove Classificate (M.4 - Q.9),Mestre - Carpenedo,"Carpenedo, Bissuola"
270421876,2019-04-16,22,3,270425073,3,8,Terraferma,Favaro Col San Martino,Favaro Veneto,Favaro Veneto
270422877,2019-04-16,22,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422386,2019-04-16,12,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270423048,2019-04-16,88,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422273,2019-04-16,0,3,270425095,4,9,Terraferma,Aree Non Altrove Classificate (M.4 - Q.9),Mestre - Carpenedo,"Carpenedo, Bissuola"
270422876,2019-04-16,24,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422912,2019-04-16,147,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422871,2019-04-16,0,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422299,2019-04-16,212,3,270425085,4,9,Terraferma,Villaggio Sartori,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421855,2019-04-16,34,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421869,2019-04-16,254,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422852,2019-04-16,51,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422831,2019-04-16,31,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422856,2019-04-16,62,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422843,2019-04-16,38,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422251,2019-04-16,2,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422240,2019-04-16,427,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270423069,2019-04-16,12,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421976,2019-04-16,0,3,270425068,3,8,Terraferma,Tessera,Favaro Veneto,Favaro Veneto
270421813,2019-04-16,132,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421850,2019-04-16,0,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422795,2019-04-16,6,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422160,2019-04-16,91,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421796,2019-04-16,174,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422191,2019-04-16,56,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422172,2019-04-16,487,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422175,2019-04-16,141,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422176,2019-04-16,386,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421786,2019-04-16,50,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422174,2019-04-16,64,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270423414,2019-04-16,3,3,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
270423151,2019-04-16,94,3,270425112,5,12,Terraferma,Giustizia,Chirignago - Zelarino,"Chirignago, Gazzera"
270423236,2019-04-16,55,3,270425113,5,12,Terraferma,Santa Barbara,Chirignago - Zelarino,"Chirignago, Gazzera"
270422686,2019-04-16,45,3,270425093,4,10,Terraferma,Piave 1860,Mestre - Carpenedo,Mestre Centro
270421726,2019-04-16,55,3,270425069,3,8,Terraferma,Campalto Cimitero,Favaro Veneto,Favaro Veneto
270422875,2019-04-16,15,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422874,2019-04-16,22,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421871,2019-04-16,30,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422870,2019-04-16,0,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421877,2019-04-16,114,3,270425073,3,8,Terraferma,Favaro Col San Martino,Favaro Veneto,Favaro Veneto
270421874,2019-04-16,543,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422813,2019-04-16,73,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422387,2019-04-16,44,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422419,2019-04-16,0,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422832,2019-04-16,10,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422803,2019-04-16,98,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421964,2019-04-16,26,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422300,2019-04-16,142,3,270425095,4,9,Terraferma,Aree Non Altrove Classificate (M.4 - Q.9),Mestre - Carpenedo,"Carpenedo, Bissuola"
270421816,2019-04-16,55,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422786,2019-04-16,0,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422379,2019-04-16,106,3,270425090,4,10,Terraferma,San Lorenzo Xxv Aprile,Mestre - Carpenedo,Mestre Centro
270421832,2019-04-16,63,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422248,2019-04-16,38,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270423090,2019-04-16,0,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421824,2019-04-16,170,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422239,2019-04-16,40,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422303,2019-04-16,55,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421839,2019-04-16,38,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270423054,2019-04-16,4,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270423083,2019-04-16,76,3,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
270421827,2019-04-16,74,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421817,2019-04-16,27,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422168,2019-04-16,344,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421745,2019-04-16,65,3,270425066,3,8,Terraferma,Campalto,Favaro Veneto,Favaro Veneto
270422652,2019-04-16,31,3,270425093,4,10,Terraferma,Piave 1860,Mestre - Carpenedo,Mestre Centro
270421666,2019-04-16,0,1,270425047,1,6,Città d'acqua,Laguna Veneta (M.1 - Q.6),Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270422759,2019-04-16,195,3,270425093,4,10,Terraferma,Piave 1860,Mestre - Carpenedo,Mestre Centro
270422690,2019-04-16,83,3,270425093,4,10,Terraferma,Piave 1860,Mestre - Carpenedo,Mestre Centro
270422693,2019-04-16,65,3,270425093,4,10,Terraferma,Piave 1860,Mestre - Carpenedo,Mestre Centro
270423350,2019-04-16,31,3,270425117,5,12,Terraferma,Chirignago,Chirignago - Zelarino,"Chirignago, Gazzera"
270423217,2019-04-16,126,3,270425113,5,12,Terraferma,Santa Barbara,Chirignago - Zelarino,"Chirignago, Gazzera"
270422316,2019-04-16,23,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270421895,2019-04-16,15,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422002,2019-04-16,12,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422886,2019-04-16,40,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423050,2019-04-16,31,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422825,2019-04-16,0,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421852,2019-04-16,394,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422223,2019-04-16,406,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422323,2019-04-16,0,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422219,2019-04-16,221,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422231,2019-04-16,7,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422850,2019-04-16,1,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422322,2019-04-16,0,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270423051,2019-04-16,8,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421793,2019-04-16,113,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270423081,2019-04-16,16,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421801,2019-04-16,365,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421809,2019-04-16,46,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421804,2019-04-16,114,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421794,2019-04-16,122,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422167,2019-04-16,49,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422187,2019-04-16,182,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421989,2019-04-16,0,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422306,2019-04-16,392,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270423075,2019-04-16,0,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422777,2019-04-16,8,3,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423287,2019-04-16,113,3,270425115,5,12,Terraferma,Asseggiano,Chirignago - Zelarino,"Chirignago, Gazzera"
270422193,2019-04-16,93,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421780,2019-04-16,43,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422173,2019-04-16,125,3,270425080,4,9,Terraferma,Bissuola,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422083,2019-04-16,69,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422311,2019-04-16,76,3,270425083,4,9,Terraferma,Pra' Secco,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422265,2019-04-16,75,3,270425083,4,9,Terraferma,Pra' Secco,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422826,2019-04-16,24,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422807,2019-04-16,53,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422315,2019-04-16,135,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270421995,2019-04-16,19,3,270425077,3,8,Terraferma,Aeroporto,Favaro Veneto,Favaro Veneto
270421975,2019-04-16,0,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270421684,2019-04-16,0,1,270425047,1,6,Città d'acqua,Laguna Veneta (M.1 - Q.6),Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270423079,2019-04-16,65,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422376,2019-04-16,92,3,270425090,4,10,Terraferma,San Lorenzo Xxv Aprile,Mestre - Carpenedo,Mestre Centro
270421654,2019-04-16,0,1,270425035,1,6,Città d'acqua,Isola Santa Cristina,Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270423058,2019-04-16,3,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422321,2019-04-16,22,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422833,2019-04-16,28,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422249,2019-04-16,161,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422783,2019-04-16,352,3,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422309,2019-04-16,117,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422302,2019-04-16,77,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270423068,2019-04-16,0,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421829,2019-04-16,66,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421822,2019-04-16,31,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422784,2019-04-16,0,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423076,2019-04-16,37,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421781,2019-04-16,273,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421722,2019-04-16,66,3,270425068,3,8,Terraferma,Tessera,Favaro Veneto,Favaro Veneto
270421788,2019-04-16,33,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421993,2019-04-16,0,3,270425068,3,8,Terraferma,Tessera,Favaro Veneto,Favaro Veneto
270422467,2019-04-16,590,3,270425090,4,10,Terraferma,San Lorenzo Xxv Aprile,Mestre - Carpenedo,Mestre Centro
270423094,2019-04-16,98,3,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
270421789,2019-04-16,84,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270421994,2019-04-16,27,3,270425068,3,8,Terraferma,Tessera,Favaro Veneto,Favaro Veneto
270423043,2019-04-16,236,3,270425097,5,11,Terraferma,Cipressina,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423073,2019-04-16,0,1,270425043,1,6,Città d'acqua,Isola Cason Vecchio Di Grassabo',Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270422410,2019-04-16,19,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422397,2019-04-16,14,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422318,2019-04-16,5,3,270425086,4,10,Terraferma,Centro Commerciale Auchan,Mestre - Carpenedo,Mestre Centro
270422396,2019-04-16,32,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422395,2019-04-16,11,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270421870,2019-04-16,39,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270422906,2019-04-16,60,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422263,2019-04-16,18,3,270425095,4,9,Terraferma,Aree Non Altrove Classificate (M.4 - Q.9),Mestre - Carpenedo,"Carpenedo, Bissuola"
270422241,2019-04-16,158,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421977,2019-04-16,0,3,270425077,3,8,Terraferma,Aeroporto,Favaro Veneto,Favaro Veneto
270422221,2019-04-16,176,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422848,2019-04-16,45,3,270425100,5,11,Terraferma,Sardi (M.5 - Q11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422224,2019-04-16,34,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422855,2019-04-16,15,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423074,2019-04-16,15,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422834,2019-04-16,0,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422257,2019-04-16,251,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270421818,2019-04-16,40,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270423072,2019-04-16,0,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422161,2019-04-16,290,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270422782,2019-04-16,6,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422380,2019-04-16,48,3,270425090,4,10,Terraferma,San Lorenzo Xxv Aprile,Mestre - Carpenedo,Mestre Centro
270421825,2019-04-16,96,3,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
270423070,2019-04-16,4,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270423065,2019-04-16,8,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270422307,2019-04-16,152,3,270425082,4,9,Terraferma,Carpenedo,Mestre - Carpenedo,"Carpenedo, Bissuola"
270423098,2019-04-16,74,3,270425110,5,12,Terraferma,Case Dosa,Chirignago - Zelarino,"Chirignago, Gazzera"
270423099,2019-04-16,0,3,270425118,5,12,Terraferma,Aree Non Altrove Classificate (M.5 - Q.12),Chirignago - Zelarino,"Chirignago, Gazzera"
270421980,2019-04-16,14,3,270425068,3,8,Terraferma,Tessera,Favaro Veneto,Favaro Veneto
